PlantId,year,Month,PlantName,OperatorName,OperatorId,PlantState,CensusRegion,NERCRegion,ReportedPrimeMover,ReportedFuelTypeCode,Netgen,NetGenerationMegawatthours,cap,month_id,daysmonth,monthyear,CF,C_WW,C_FC,Gen_C,Gen_WW,Gen_FC,season,CF_C,CF_WW,CF_FC,seasonyear,align_raw,align_spd,align_spd3,CF_WW_hat,CF_WW_hat_no,CFrat,CFrat_no,CFdiff,CFdiff_no
56355,2015,March,Whispering Willow Wind Farm - East,Interstate Power and Light Co,9417,IA,WNC,MRO,WT,WND,66461,653103,200,3,31,75,.446646511554718,200,0,57678,66461,22781,2,.38762096,.44664651,.30928913,26,.55004758,.54185587,.53253007,.42411423,.41580698,.9495523,.93095315,-.022532284,-.030839533
56355,2015,April,Whispering Willow Wind Farm - East,Interstate Power and Light Co,9417,IA,WNC,MRO,WT,WND,65611,653103,200,4,30,76,.4556319415569305,200,0,57533,65611,22098,2,.39953473,.45563194,.31001684,26,.46172085,.469401,.49443403,.45280048,.43144438,.99378562,.94691426,-.002831459,-.024187565
56355,2015,May,Whispering Willow Wind Farm - East,Interstate Power and Light Co,9417,IA,WNC,MRO,WT,WND,60024,653103,200,5,31,77,.4033870995044708,200,0,55725,60024,17953,2,.37449595,.4033871,.24374117,26,.55305868,.57252705,.61026531,.4043512,.42267019,1.00239,1.0478029,.00096410513,.019283086
56355,2015,June,Whispering Willow Wind Farm - East,Interstate Power and Light Co,9417,IA,WNC,MRO,WT,WND,30096,653103,200,6,30,78,.2090000063180924,200,0,26366,30096,14580,3,.18309723,.20900001,.20454545,27,.47794774,.4874106,.52462167,.26142195,.25040588,1.2508227,1.1981142,.052421942,.041405872
56355,2015,July,Whispering Willow Wind Farm - East,Interstate Power and Light Co,9417,IA,WNC,MRO,WT,WND,25495,653103,200,7,31,79,.171337366104126,200,0,20132,25495,13302,3,.1352957,.17133737,.18059629,27,.59639496,.59098995,.5925113,.21546236,.22770017,1.2575328,1.328958,.044124991,.056362808
56355,2015,August,Whispering Willow Wind Farm - East,Interstate Power and Light Co,9417,IA,WNC,MRO,WT,WND,36223,653103,200,8,31,80,.2434341460466385,200,0,27316,36223,16008,3,.18357527,.24343415,.21733464,27,.60336417,.61920267,.64177281,.25348431,.2825954,1.0412849,1.16087,.010050163,.03916125
56355,2015,September,Whispering Willow Wind Farm - East,Interstate Power and Light Co,9417,IA,WNC,MRO,WT,WND,43380,653103,200,9,30,81,.3012500107288361,200,0,34564,43380,18472,4,.24002777,.30125001,.25914702,28,.56993818,.60777229,.6763671,.3128916,.35385212,1.0386443,1.1746128,.011641592,.052602112
56355,2015,October,Whispering Willow Wind Farm - East,Interstate Power and Light Co,9417,IA,WNC,MRO,WT,WND,61640,653103,200,10,31,82,.4142473042011261,200,0,45748,61640,25428,4,.30744624,.4142473,.34522647,28,.54454452,.56616819,.60806441,.40419158,.42175671,.97572529,1.0181278,-.010055721,.0075094104
56355,2015,November,Whispering Willow Wind Farm - East,Interstate Power and Light Co,9417,IA,WNC,MRO,WT,WND,76454,653103,200,11,30,83,.5309305787086487,200,0,36851,76454,21677,4,.25590971,.53093058,.30411056,28,.5987832,.6010834,.60887295,.42777705,.44561914,.80571187,.83931714,-.10315353,-.085311443
56355,2015,December,Whispering Willow Wind Farm - East,Interstate Power and Light Co,9417,IA,WNC,MRO,WT,WND,63110,653103,200,12,31,84,.4241263568401337,200,0,34760,63110,20580,1,.23360215,.42412636,.27940696,28,.56135702,.54142249,.5184952,.39820537,.3850908,.93888378,.90796244,-.025920987,-.039035559
